ID,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
37,Bayswater,525845,180799,51.51211098,-0.1879015719,1,W2 4QH
38,Beckenham Hill,538002,171379,51.42462603,-0.01649576197,4,SE6 3NU
39,Beckenham Junction,537403,169840,51.4109416,-0.02570173911,4,BR3 1HY
40,Beckenham Road,536177,169650,51.40952968,-0.04339192197,"3,4,5,6",BR3 4RR
41,Beckton,543145,181509,51.51437673,0.06152529716,3,E6 5NT
42,Beckton Park,542697,180887,51.50890089,0.05482193905,3,E6 5NE
43,Becontree,547598,184442,51.53958562,0.1268802927,5,RM9 4TP
44,Beddington Lane,529367,167215,51.38923965,-0.1421384332,"3,4,5,6",CR0 4TF
45,Belgrave Walk,526805,168455,51.40096136,-0.1784964722,"3,4,5,6",CR4 4NY
46,Bellingham,537702,172399,51.43386486,-0.02041177029,3,SE6 3BT
47,Belmont,525500,162098,51.3441196,-0.1994892509,5,SM2 6BH
48,Belsize Park,527399,185075,51.55019061,-0.163974491,2,NW3 2AL
49,Belvedere,549498,179197,51.49195925,0.1520337933,5,DA17 6JW
50,Bermondsey,534461,179445,51.49796068,-0.06433008981,2,SE16 4RX
51,Berrylands,519728,168040,51.39876795,-0.2803214729,5,KT5 8LT
52,Bethnal Green,534995,182712,51.52719165,-0.05539211145,2,E2 0ET
53,Bethnal Green Rail,534683,182380,51.52428264,-0.0600137424,2,E2 6JL
54,Bexley,549399,173502,51.44081478,0.1482039143,6,DA5 1AQ
55,Bexleyheath,548294,176000,51.46355018,0.1333629661,5,DA7 4AA
56,Bickley,542304,168799,51.40037964,0.0443040317,5,BR1 2EB
57,Birkbeck,535297,168996,51.403863,-0.05628623554,4,BR3 4TA
58,Blackfriars,531738,180890,51.51158676,-0.1029953846,1,EC4V 4DD
59,Blackheath,539604,175961,51.46540803,0.008336594713,3,SE3 9LE
60,Blackhorse Lane,534362,166844,51.38474607,-0.07053394761,"3,4,5,6",CR0 6NL
61,Blackhorse Road,535914,189256,51.58577656,-0.03962571147,3,E17 6JJ
62,Blackwall,538394,180649,51.50783153,-0.007235165878,2,E14 9QB
63,Bond Street,528497,181053,51.51379728,-0.1496136085,1,W1C 2HU
64,Borough,532379,179734,51.50104872,-0.09419732264,1,SE1 1JX
65,Boston Manor,516391,178755,51.49576501,-0.3247471826,4,TW8 9LQ
66,Bounds Green,529996,191466,51.60703172,-0.1241770647,"3,4",N11 2EU
67,Bow Church,537414,182824,51.52761517,-0.02049989918,2,E3 3AA
68,Bow Road,537148,182753,51.52704177,-0.02435959063,2,E3 4DH
69,Bowes Park,530299,191498,51.60724932,-0.1197922183,"3,4",N22 8NL
70,Brent Cross,523905,187927,51.57659887,-0.2133358379,3,NW11 9UA
71,Brentford,517462,177864,51.4875358,-0.3096225311,4,TW8 9LF
72,Brentwood,559321,193036,51.61361083,0.2996728215,7,CM14 4EW
73,Brimsdown,536297,196997,51.65524457,-0.03109227689,5,EN3 7NA
74,Brixton,531076,175437,51.46273662,-0.1145520968,2,SW9 8HE
75,Brockley,536405,175801,51.4647496,-0.03774825047,2,SE4 2RW
76,Bromley North,540395,169699,51.40894234,0.01723545196,4,BR1 3NN
77,Bromley South,540431,168705,51.40000132,0.0173595805,5,BR1 1LX
78,Bromley-by-Bow,538034,182532,51.52484018,-0.01168237435,"2,3",E3 3BT
79,Brondesbury,524718,184460,51.54526203,-0.2028384833,2,NW6 7QL
80,Brondesbury Park,524202,183898,51.54032502,-0.2104739441,2,NW6 6RP
81,Broxbourne,537407,207240,51.74701555,-0.01102408378,9,EN10 7AW
82,Bruce Grove,533758,190115,51.59401113,-0.07039898936,3,N17 8AD
83,Buckhurst Hill,541768,193957,51.62657674,0.04671254143,5,IG9 5ET
84,Burnham,494007,181378,51.52350399,-0.6463882083,,SL1 6JT
85,Burnt Oak,520303,190728,51.60255148,-0.2643307082,4,HA8 0LA
86,Bush Hill Park,533696,195396,51.64148185,-0.06928041223,5,EN1 1BA
87,Bushey,511860,195318,51.64554353,-0.3847215327,8,WD19 4ST
88,Caledonian Road,530568,184899,51.54788525,-0.1183608611,2,N7 9BA
89,Caledonian Road and Barnsbury,530800,184393,51.54328439,-0.1152048559,2,N1 0SL
90,Cambridge Heath,534855,183250,51.53205967,-0.05720320064,2,E2 7NA
91,Camden Road,529140,184191,51.54185101,-0.1392031114,2,NW1 9LQ
92,Camden Town,528920,183976,51.53996912,-0.1424523799,2,NW1 8NH
93,Canada Water,535399,179493,51.49816833,-0.05080712085,2,SE16 7BB
94,Canary Wharf,537558,180153,51.50357838,-0.01946684014,2,E14 4QS
95,Canning Town,539454,181350,51.5138703,0.008305632749,3,E16 1DQ
96,Cannon Street,532623,180888,51.51136194,-0.09025052642,1,EC4N 6AP
97,Canonbury,532355,184979,51.54818824,-0.09257419533,2,N1 2PG
98,Canons Park,518208,191246,51.60765009,-0.2943915915,5,HA8 6RN
99,Carpenders Park,511826,193386,51.62818609,-0.3858293151,7,WD19 7DT
100,Carshalton,527737,164858,51.3684261,-0.1663983264,5,SM5 2HT
101,Carshalton Beeches,527552,163625,51.35738657,-0.1694963245,5,SM5 3LG
102,Castle Bar Park,515853,181770,51.52297312,-0.3315040699,4,W7 1AY
103,Caterham,534099,155422,51.2821627,-0.07860729821,6,CR3 6LB
104,Catford,537245,173544,51.44426487,-0.02653849856,3,SE6 4XT
105,Catford Bridge,537363,173595,51.44469459,-0.02482187591,3,SE6 4RE
106,Centrale,532067,165785,51.3757673,-0.1038881032,"3,4,5,6",CR0 1XT
107,Chadwell Heath,547646,187611,51.56804709,0.1289011126,5,RM6 4BE
108,Chafford Hundred,558922,178770,51.48555497,0.2874757055,7,RM16 6QQ
109,Chalfont and Latimer,499610,197550,51.66790656,-0.5610677589,8,HP7 9PR
110,Chalk Farm,528126,184421,51.54414884,-0.1537330695,2,NW3 2BP
111,Chancery Lane,531096,181642,51.51849384,-0.1119620268,1,WC1V 6DR
112,Charing Cross,530234,180492,51.50835843,-0.1248029372,1,WC2N 5HS
113,Charlton,541108,178387,51.48683504,0.03094164486,3,SE7 7AB
114,Cheam,524444,163334,51.35545989,-0.2142112809,5,SM3 8RZ
115,Chelsfield,546944,164021,51.35626476,0.1089841204,6,BR6 6EU
116,Chesham,496048,201650,51.70537902,-0.6114296353,9,HP5 1DH
117,Cheshunt,536652,202307,51.70287328,-0.02388741543,8,EN8 9AQ
118,Chessington North,518415,164168,51.36424295,-0.3004761236,6,KT9 2RT
119,Chessington South,517974,163319,51.35670403,-0.3070890152,6,KT9 2DD
120,Chigwell,543835,193045,51.617858,0.07617921535,4,IG7 6NT
121,Chingford,539173,194628,51.63325339,0.009514325531,5,E4 6AL
122,Chipstead,527689,158275,51.30927471,-0.1694458678,6,CR5 3TD
123,Chislehurst,543205,169405,51.40559851,0.05749182165,5,BR7 5NN
124,Chiswick,520438,177182,51.48078106,-0.2670133177,3,W4 2QE
125,Chiswick Park,520352,178692,51.49437028,-0.267736918,3,W4 5NE
126,Chorleywood,502596,196092,51.65426508,-0.5183339109,7,WD3 5ND
127,Church Street,532041,165555,51.37370639,-0.1043468283,"3,4,5,6",CR0 1RN
128,City Thameslink,531688,181150,51.5139349,-0.1036184486,1,EC4M 7JH
129,Clapham Common,529428,175291,51.46180345,-0.1383149014,2,SW4 7AJ
130,Clapham High Street,529824,175709,51.4654693,-0.1324645016,2,SW4 6DQ
131,Clapham Junction,527198,175520,51.46436651,-0.1703150005,2,SW11 2QP
132,Clapham North,530003,175652,51.464916,-0.1299100619,2,SW4 7TS
133,Clapham South,528782,174259,51.45267625,-0.1479840683,"2,3",SW12 9DU
134,Clapton,534748,186531,51.561569,-0.05748945827,2,E5 9JP
135,Clock House,536367,169545,51.4085405,-0.0407020925,4,BR3 4PR
136,Cockfosters,528087,196424,51.65202424,-0.1499167098,5,EN4 0DZ
137,Colindale,521295,189937,51.59523011,-0.2502875401,4,NW9 5HR
138,Colliers Wood,526831,170436,51.4187589,-0.177415098,3,SW19 2HR
139,Coombe Lane,535201,164089,51.35978921,-0.05953157112,"3,4,5,6",CR0 5RF
140,Coulsdon South,529869,159056,51.31580072,-0.1379030892,6,CR5 3EA
141,Coulsdon Town,530098,159802,51.32245274,-0.1343470562,6,CR5 2JA
142,Covent Garden,530242,180982,51.51276003,-0.1245068937,1,WC2E 9JT
143,Crayford,551479,174424,51.44854705,0.1785027182,6,DA1 3PY
144,Crews Hill,530973,200109,51.68447444,-0.1068441001,6,EN2 8AY
145,Cricklewood,524009,185907,51.55842232,-0.2125479315,3,NW2 1HL
146,Crofton Park,536517,174739,51.45517924,-0.03654658176,3,SE4 2RA
147,Crossharbour,537896,179301,51.49583996,-0.01493281309,2,E14 8AD
148,Crouch Hill,530586,187508,51.57132691,-0.1171332841,3,N4 4AU
149,Croxley,507921,195395,51.64700456,-0.4416037869,7,WD3 3DY
150,Crystal Palace,534120,170557,51.41817024,-0.07260723246,"3,4",SE19 2AZ
151,Custom House,540679,180911,51.5096221,0.02577251031,3,E16 3BX
152,Cutty Sark for Maritime Greenwich,538240,177764,51.48194445,-0.01058186672,2,SE10 9SW
153,Cyprus,543324,180863,51.50852669,0.06384075607,3,E6 5PH
154,Dagenham Dock,548900,183000,51.52628744,0.1450310153,5,RM9 6RA
155,Dagenham East,550284,185033,51.54418761,0.1658334333,5,RM10 8AA
156,Dagenham Heathway,549035,184665,51.54121204,0.1476797215,5,RM9 5AN
157,Dalston Junction,533580,184778,51.5460936,-0.0749942045,2,E8 3DL
158,Dalston Kingsland,533487,185062,51.5486677,-0.07622692162,2,E8 2JS
159,Debden,544275,196133,51.64549214,0.08380147526,6,IG10 3TG
160,Denmark Hill,532697,176087,51.46820049,-0.0909878691,2,SE5 8BB
161,Deptford,537165,177395,51.47889004,-0.02619631953,2,SE8 3NU
162,Deptford Bridge,537466,176912,51.47447674,-0.02205242877,"2,3",SE10 8BU
163,Devons Road,537603,182233,51.52225844,-0.01800775418,2,E3 3QX
164,Dollis Hill,522207,185132,51.5518502,-0.2387977584,3,NW10 5NB
165,Drayton Green,516002,180998,51.51600414,-0.3296112534,4,W13 0JX
166,Drayton Park,531426,185499,51.55307814,-0.1057701991,2,N5 1NT
167,Dundonald Road,524741,170233,51.41739781,-0.2075271102,"3,4,5,6",SW19 3QJ
168,Ealing Broadway,517920,180915,51.51486148,-0.3020103761,3,W5 2NU
169,Ealing Common,518963,180426,51.51024819,-0.2871514131,3,W5 3LD
170,Earl's Court,525457,178480,51.49135636,-0.1943138071,"1,2",SW5 9QA
171,Earlsfield,526081,173030,51.4422385,-0.1872726865,3,SW18 4SW
172,East Acton,521656,181159,51.51626301,-0.2481122213,2,W12 0BP
173,East Croydon,532904,165801,51.37571595,-0.09186349554,5,CR0 1LF
174,East Dulwich,533449,175375,51.46162545,-0.08043657113,2,SE22 8EF
175,East Finchley,527242,189204,51.58733228,-0.1647438844,3,N2 0NW
176,East Ham,542373,184255,51.53924625,0.05151629348,"3,4",E6 2JA
177,East India,538729,180753,51.50868401,-0.002370331549,"2,3",E14 9PS
178,East Putney,524387,174840,51.45887944,-0.2109982316,"2,3",SW15 6SN
179,Eastcote,511191,187627,51.57655118,-0.3968232901,5,HA5 1QZ
180,Eden Park,537396,167598,51.39079606,-0.02666971551,5,BR3 3HQ
181,Edgware,519527,192009,51.61422917,-0.2750936621,5,HA8 7AW
182,Edgware Road (Bakerloo),527026,181778,51.52064508,-0.1705395499,1,W2 1DY
183,Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.51999777,-0.1676682527,1,NW1 5DH
184,Edmonton Green,534273,193590,51.6251156,-0.06163901924,4,N9 9DX
185,Elephant and Castle,531940,179144,51.49584922,-0.1007387143,"1,2",SE1 6LW
186,Elm Park,552446,185647,51.54912491,0.1972526843,6,RM12 4RW
187,Elmers End,535788,168389,51.39829103,-0.04946383214,4,BR3 4EJ
188,Elmstead Woods,542247,170656,51.41708071,0.04422934284,4,BR7 5EW
189,Elstree and Borehamwood,519098,196299,51.65287512,-0.2798286149,6,WD6 3LS
190,Eltham,542690,174962,51.45566231,0.0523293079,4,SE9 6UB
191,Elverson Road,537848,176243,51.46837217,-0.0168163762,"2,3",SE8 4LA
192,Embankment,530406,180380,51.5073123,-0.1223673357,1,WC2N 6NS
193,Emerson Park,553971,187918,51.56911527,0.2202229372,6,RM11 2JR
194,Enfield Chase,532181,196607,51.65272197,-0.09070420501,5,EN2 7AA
195,Enfield Lock,536437,198737,51.67084608,-0.02839107006,6,EN3 6BW
196,Enfield Town,532970,196544,51.65196995,-0.07932992173,5,EN1 1YB
197,Epping,546197,201552,51.69368635,0.1138255535,6,CM16 4HW
198,Epsom Downs,522805,159756,51.32365905,-0.2389702235,6,KT17 4JX
199,Erith,551075,178096,51.48164796,0.174261291,6,DA8 1TY
200,Essex Road,532114,184132,51.54063316,-0.09636552536,2,N1 2SU
201,Euston,529587,182735,51.52866411,-0.1332964708,1,NW1 2DU
202,Euston Square,529587,182735,51.52866411,-0.1332964708,1,NW1 2BN
203,Ewell East,522571,162152,51.34524348,-0.241502998,6,KT17 1QR
204,Ewell West,521473,162654,51.34999072,-0.2570891292,6,KT17 1TU
205,Fairlop,544902,190655,51.59610969,0.09059327992,4,IG6 3HD
206,Falconwood,544498,175394,51.45908593,0.07850969338,4,SE9 2RN
207,Farringdon,531585,181844,51.52019552,-0.1048430613,1,EC1M 6BY
208,Feltham,510601,173298,51.4478785,-0.4098244712,6,TW13 4BY
209,Fenchurch Street,533434,180932,51.51156658,-0.07855415245,1,EC3M 4AJ
210,Fieldway,537665,163212,51.35131697,-0.02450326533,"3,4,5,6",CR0 0QA
211,Finchley Central,525232,190664,51.60090294,-0.1932206347,4,N3 2RY
212,Finchley Road,526293,184703,51.54709591,-0.1800505586,2,NW6 3BS
213,Finchley Road and Frognal,526035,185033,51.5501192,-0.1836512007,2,NW3 5HT
214,Finsbury Park,531385,186784,51.56463527,-0.1058814855,2,N4 3JU
215,Forest Gate,540447,185322,51.54931616,0.02418909154,3,E7 0QH
216,Forest Hill,535398,172943,51.43930823,-0.05332850425,3,SE23 3HD
217,Fulham Broadway,525402,177244,51.48026059,-0.1955441615,2,SW6 1BY
218,Fulwell,514832,171841,51.433942,-0.3494385176,6,TW2 5NY
219,Gallions Reach,543873,180935,51.50903426,0.07177539473,3,E6 6FZ
220,Gants Hill,543266,188432,51.57655306,0.06608409806,4,IG2 6UD
221,George Street,532432,165594,51.3739659,-0.09871810466,"3,4,5,6",CRO 1LA
222,Gidea Park,552941,189306,51.58186609,0.2059769831,6,RM2 6BX
223,Gipsy Hill,533321,171237,51.42446939,-0.08383516711,3,SE19 1PL
224,Gloucester Road,526196,178848,51.49449926,-0.1835435576,1,SW7 4SF
225,Golders Green,525199,187471,51.57221522,-0.1948345569,3,NW11 7RN
226,Goldhawk Road,523131,179616,51.5020766,-0.2274040032,2,W12 8EG
227,Goodge Street,529505,181837,51.52061289,-0.1348076891,1,W1T 2HF
228,Goodmayes,546462,187369,51.56618117,0.111729655,4,IG3 9UH
229,Gordon Hill,531889,197799,51.66350209,-0.09447329927,5,EN2 0QU
230,Gospel Oak,528263,185677,51.55540505,-0.1513010312,2,NW5 1LT
231,Grange Hill,544963,192590,51.61348058,0.09227253017,4,IG7 5QB
232,Grange Park,531753,195472,51.64262292,-0.09731442326,5,N21 1RE
233,Gravel Hill,536359,163536,51.35454319,-0.04312169865,"3,4,5,6",CR0 5BJ
234,Great Portland Street,528861,182174,51.52378856,-0.1439614241,1,W1W 5PP
235,Green Park,529012,180283,51.50676025,-0.1424775744,1,W1J 7BX
236,Greenford,514808,183861,51.54197951,-0.3458787331,4,UB6 8PR
237,Greenwich,537956,177267,51.47754764,-0.0148630836,"2,3",SE10 8JQ
238,Grove Park,540702,172099,51.43043268,0.02259850219,4,SE12 0PW
239,Gunnersbury,519843,178401,51.49186296,-0.2751641314,3,W4 5RP
240,Hackbridge,528582,165929,51.37786065,-0.1538791969,4,SM6 7BJ
241,Hackney Central,534922,184943,51.54725736,-0.0555895118,2,E8 1LL
242,Hackney Downs,534598,185137,51.54907799,-0.06018510486,2,E8 1LA
243,Hackney Wick,537036,184588,51.54355837,-0.02525950277,2,E9 5ER
244,Hadley Wood,526197,198199,51.66840258,-0.1765811878,6,EN4 0EJ
245,Haggerston,533560,183953,51.53868461,-0.07559525776,2,E8 4DY
246,Hainault,545124,191411,51.60284548,0.09410855083,4,IG6 3BD
247,Hammersmith (District),523474,178483,51.49181941,-0.2228609259,2,W6 9YA
248,Hammersmith (Met.),523346,178665,51.49348299,-0.2246401545,2,W6 0ED
249,Hampstead,526408,185757,51.55654231,-0.1780145581,2,NW3 1QG
250,Hampstead Heath,527344,185631,51.55519966,-0.1645661817,3,NW3 2QD
251,Hampton,513299,169797,51.41587894,-0.3721352457,6,TW12 2HU
252,Hampton Court,515376,168332,51.40229332,-0.3427571453,6,KT8 9AE
253,Hampton Wick,517407,169752,51.41463953,-0.3131036039,6,KT1 4DQ
254,Hanger Lane,518506,182621,51.53007156,-0.2929961406,3,W5 1DL
255,Hanwell,515426,180560,51.51218541,-0.3380518778,4,W7 3EB
256,Harlesden,520952,183367,51.53625791,-0.2574956704,3,NW10 8UT
257,Harold Wood,554858,190626,51.5932026,0.2342040767,6,RM3 0BL
258,Harringay,531395,188200,51.57735774,-0.1052082519,3,N4 1RW
259,Harringay Green Lanes,531880,188189,51.57714573,-0.09821739122,3,N4 2NU
260,Harrington Road,535002,168535,51.39979047,-0.06069995435,"3,4,5,6",SE25 4NF
261,Harrow and Wealdstone,515486,189508,51.59259409,-0.3342526786,5,HA3 7RF
262,Harrow-on-the-Hill,515329,188035,51.57938757,-0.3370015107,5,HA1 1BB
263,Hatch End,513024,191370,51.6098279,-0.369178773,6,HA5 5LZ
264,Hatton Cross,509614,175369,51.46668461,-0.423380553,"5,6",TW6 3PF
265,Haydons Road,526012,171161,51.42545701,-0.1889293573,3,SW19 8SL
266,Hayes,540003,165993,51.37573673,0.01014265247,5,BR2 7EN
267,Hayes and Harlington,509717,179417,51.50304839,-0.4206418933,5,UB3 4BX
268,Headstone Lane,513892,190574,51.60249904,-0.356907507,5,HA2 6NB
269,Heathrow Terminal 4,507939,174565,51.4597797,-0.4477295783,6,TW6 3AA
270,Heathrow Terminal 5,504934,175642,51.47002462,-0.4906474891,6,TW6 2GA
271,Heathrow Terminals 2 and 3,507587,175838,51.47128866,-0.4524072136,6,TW6 1EB
272,Hendon,522143,188271,51.5800746,-0.2386305173,"3,4",NW4 4PT
273,Hendon Central,522959,188631,51.58313268,-0.2267341371,"3,4",NW4 3AS
274,Herne Hill,531934,174486,51.4539912,-0.1025629077,"2,3",SE24 0JW
275,Heron Quays,537386,180127,51.50338654,-0.02195353204,2,E14 4JH
276,High Barnet,525027,196310,51.65168794,-0.194165378,5,EN5 5RP
277,High Street Kensington,525622,179527,51.50072913,-0.1915660555,1,W8 5SA
278,Highams Park,538581,191841,51.608356,-0.0001352859195,4,E4 9LA
279,Highbury and Islington,531562,184770,51.54649534,-0.1040821392,2,N1 1SE
280,Highgate,528503,188158,51.57764638,-0.1469348609,3,N6 5BH
281,Hillingdon,507567,185015,51.55377678,-0.4498979816,6,UB10 9NR
282,Hither Green,538997,174497,51.45240172,-0.0009709123245,3,SE13 5NF
283,Holborn,530553,181488,51.51723554,-0.1198405066,1,WC2B 6AA
284,Holland Park,524564,180215,51.50714615,-0.2065577754,2,W11 3RB
285,Holloway Road,530930,185457,51.55281592,-0.1129356962,2,N7 8HS
286,Homerton,536108,184901,51.54659539,-0.03851234702,2,E9 5SD
287,Honor Oak Park,536002,174221,51.45064817,-0.04415312103,3,SE23 3LE
288,Hornchurch,553931,186274,51.55435547,0.2189269994,6,RM12 6LS
289,Hornsey,530911,189202,51.58647467,-0.1118156374,3,N8 8SE
290,Hounslow,513902,174998,51.46250423,-0.3617962484,5,TW3 3DL
291,Hounslow Central,513592,175928,51.47092517,-0.3659581214,4,TW3 1JG
292,Hounslow East,514327,176254,51.47370731,-0.3552753145,4,TW3 4AB
293,Hounslow West,512215,176140,51.47310509,-0.38570762,5,TW3 3DH
294,Hoxton,533582,183142,51.53139149,-0.07558564688,"1,2",E2 8HR
295,Hyde Park Corner,528330,179801,51.50258377,-0.1524741126,1,SW1X 7LY
296,Ickenham,508127,185811,51.56082433,-0.4415795013,6,UB10 8PD
297,Ilford,543501,186501,51.55914236,0.06868519118,4,IG1 4DU
298,Imperial Wharf,526299,176674,51.47493863,-0.1828375028,2,SW6 2HA
299,Island Gardens,538228,178432,51.48795007,-0.01049330313,2,E14 3FA
300,Isleworth,515570,176430,51.47503687,-0.3373287585,4,TW7 4BX
301,Iver,503729,179898,51.5085013,-0.5067404189,,SL0 9AU
302,Kenley,532400,160100,51.32460015,-0.1012197122,6,CR8 5JA
303,Kennington,531660,178337,51.48866229,-0.1050706128,2,SE11 4JQ
304,Kensal Green,523241,182784,51.53052385,-0.2247133811,2,NW10 5JT
305,Kensal Rise,523501,183201,51.53421471,-0.2208209758,2,NW10 3NT
306,Kensington (Olympia),524324,179178,51.49787936,-0.2103792398,2,W14 0NE
307,Kent House,535999,170000,51.41271759,-0.04581555306,4,BR3 1JF
308,Kentish Town,529029,185096,51.55000929,-0.1404712627,2,NW5 2AA
309,Kentish Town West,528603,184700,51.54654773,-0.1467564086,2,NW5 3LD
310,Kenton,516833,188304,51.58149577,-0.3152168608,4,HA3 0XS
311,Kew Bridge,518898,178172,51.49000415,-0.2888464899,3,TW8 0EF
312,Kew Gardens,519173,176708,51.47678867,-0.2853810067,"3,4",TW9 3PZ
313,Kidbrooke,540999,175697,51.46269024,0.02830023919,3,SE3 9NF
314,Kilburn,524589,184644,51.5469441,-0.2046327167,2,NW6 7QL
315,Kilburn High Road,525553,183591,51.53726743,-0.1911131036,2,NW6 7QL
316,Kilburn Park,525361,183349,51.53513522,-0.1939660549,2,NW6 5AD
317,King George V,543231,180135,51.50200871,0.06220621411,3,E16 2JF
318,King Henry's Drive,537978,162558,51.34536407,-0.02026475742,"3,4,5,6",CR0 0LH
319,King's Cross,530312,182991,51.53079799,-0.1227564205,1,N1 9AL
320,Kings Cross St. Pancras,530236,182935,51.53031226,-0.1238721287,1,N1 9AL
321,Kingsbury,519361,188739,51.58487606,-0.2786016037,4,NW9 9EG
322,Kingston,518244,169549,51.41264127,-0.3011410349,6,KT1 1UJ
323,Kingswood,524816,156585,51.29472279,-0.2112332235,6,KT20 6EN
324,Knightsbridge,527765,179650,51.50135464,-0.1606644846,1,SW3 1ED
325,Knockholt,548499,162896,51.34575216,0.1308310398,6,TN14 7HR
326,Ladbroke Grove,524284,181328,51.51721033,-0.2101981699,2,W10 6HJ
327,Ladywell,537716,174884,51.45619211,-0.01924440113,3,SE13 7XB
328,Lambeth North,531165,179489,51.49912977,-0.1117682605,1,SE1 7XG
329,Lancaster Gate,526711,180796,51.51189066,-0.1754299268,1,W2 4QH
330,Langdon Park,537807,181863,51.51888392,-0.01521379895,2,E14 6NW
331,Langley,501299,179800,51.50806077,-0.5417705561,,SL3 6DB
332,Latimer Road,523789,180954,51.51395774,-0.2174596633,2,W10 6SZ
333,Lea Bridge,536175,187133,51.5666362,-0.03668315766,3,E10 7PG
334,Lebanon Road,533385,165756,51.37519886,-0.08497364876,"3,4,5,6",CR0 6SF
335,Lee,540002,174197,51.44945854,0.01336469238,3,SE12 9JG
336,Leicester Square,529987,180812,51.51129097,-0.1282421466,1,WC2H 0AP
337,Lewisham,538163,175863,51.4648807,-0.0124327009,"2,3",SE13 7RY
338,Leyton,538295,186244,51.55813226,-0.006465331581,3,E10 5PS
339,Leyton Midland Road,538150,187490,51.56936423,-0.00806634743,3,E10 6JT
340,Leytonstone,539345,187429,51.56852231,0.009140451957,"3,4",E11 1HE
341,Leytonstone High Road,539298,186903,51.56380736,0.008254468836,3,E11 4RE
342,Limehouse,536150,181087,51.5123121,-0.03938007766,2,E14 7JD
343,Liverpool Street,533160,181596,51.51759813,-0.08224962189,1,EC2M 7PR
344,Lloyd Park,533711,164549,51.36427541,-0.0807462727,"3,4,5,6",CR0 5RA
345,London Bridge,532937,180152,51.50467421,-0.08600559775,1,SE1 2SW
346,London City Airport,542231,180294,51.50368975,0.04787271558,3,E16 2DS
347,London Fields,534795,184212,51.54071875,-0.05769968622,2,E8 3PH
348,Loughborough Junction,531902,175897,51.46667873,-0.1024973409,2,SW9 8SA
349,Loughton,542314,195641,51.64157057,0.05527907929,6,IG10 4PD
350,Lower Sydenham,536831,171372,51.42484679,-0.03333034148,4,SE26 5AU
351,Maida Vale,525967,182792,51.52999476,-0.1854326449,2,W9 1JS
352,Maidenhead,488724,180745,51.51866743,-0.7226749106,,SL6 1EW
353,Malden Manor,521101,166497,51.38460911,-0.2611204124,4,KT3 5PN
354,Manor House,532074,187482,51.57074699,-0.09568497573,"2,3",N4 1BZ
355,Manor Park,541929,185757,51.55285443,0.04572387019,"3,4",E12 5EP
